shababa	0	0	341	85	0	0
xiaoqiu	0	170	341	85	0	0
tiangua	0	255	341	85	0	0
true	0	340	341	85	0	0
yuki	0	425	341	85	0	0
xuanmao	341	0	341	85	0	0
erluo	341	85	341	85	0	0
feixiao	341	340	341	85	0	0
halo	341	425	341	85	0	0
nomi	682	0	341	85	0	0
gal	682	85	341	85	0	0
yutian	0	510	341	85	0	0
xiaoxi	0	595	341	85	0	0
zhuchui	0	765	341	85	0	0
youling	0	850	341	85	0	0
aigod	0	935	341	85	0	0
yingzi	341	510	341	85	0	0
moli	341	595	341	85	0	0
mmw	682	680	341	85	0	0
andyou	682	765	341	85	0	0
xiaoshu	341	850	341	85	0	0
fenda	341	935	341	85	0	0
