被遗忘的久远星辉	0	-2	236	34	-256	-15
宁静夏夜的微风	0	36	210	34	-256	-15
喧闹吧！在这不眠之夜	0	73	282	34	-256	-15
灯火竹林	0	110	135	34	-256	-15
疾风闪电	0	146	135	34	-256	-15
木灵们的夏夜祭	0	182	208	34	-256	-15
青柳传说	0	219	135	34	-256	-15
万花世界的光与影	0	256	234	34	-256	-15
镜中的幻象	0	293	158	34	-256	-15
记忆中遥远的星星	0	330	234	34	-256	-15
引燃夜空的星火	0	368	208	34	-256	-15
银河的彼方	0	405	158	34	-256	-15
？？？？？	0	442	430	34	-256	-15
晚星之梦	0	479	135	34	-256	-15
璀璨无比的星空	0	516	407	34	-256	-15
来自仙界的新风	0	553	208	34	-256	-15
风中花，雪中月	0	590	207	34	-256	-15
闪耀在世界尽头	0	627	208	34	-256	-15
